Harry,Potter,1980,Gryffindor,Auror,El Niño Que Vivió
Hermione,Granger,1979,Gryffindor,Ministra de Magia,Estudiosa
Ron,Weasley,1980,Gryffindor,Auror,Estratega del Ajedrez
Albus,Dumbledore,1881,Gryffindor,Director de Hogwarts,Fundador de la Orden del Fénix
Severus,Snape,1960,Slytherin,Profesor de Pociones,Doble Agente
Sirius,Black,1959,Gryffindor,Inocente,Aniamgus
Remus,Lupin,1960,Gryffindor,Profesor de Defensa Contra las Artes Oscuras,Hombre Lobo
Draco,Malfoy,1980,Slytherin,Empleado del Ministerio de Magia,Reformado
Luna,Lovegood,1981,Ravenclaw,Naturalista,Soñadora
Neville,Longbottom,1980,Gryffindor,Profesor de Herbología,Héroe del Ejército de Dumbledore
